req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-DET-001,Protocol Detection,XML Detection,The plugin shall detect XML CoT messages starting with '<?xml' prefix,First 5 bytes match '<?xml',tests/test_cot_xml.py,test_detect_xml_declaration,Unit Test,COMPLETE,HIGH,1,Check buffer prefix,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-001.md,
REQ-DET-002,Protocol Detection,XML Detection,The plugin shall detect XML CoT messages starting with '<event' prefix,First 6 bytes match '<event',tests/test_cot_xml.py,test_detect_event_tag,Unit Test,COMPLETE,HIGH,1,Check buffer prefix,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-002.md,
REQ-DET-003,Protocol Detection,TAK Protobuf,The plugin shall detect TAK Stream protocol (0xBF + varint length),Magic byte 0xBF followed by length varint,tests/test_tak_protobuf.py,test_detect_stream_protocol,Unit Test,COMPLETE,HIGH,1,Version 1 framing,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-003.md,
REQ-DET-004,Protocol Detection,TAK Protobuf,The plugin shall detect TAK Mesh protocol (0xBF + version + 0xBF),Magic byte pattern with version,tests/test_tak_protobuf.py,test_detect_mesh_protocol,Unit Test,COMPLETE,HIGH,1,Version 2+ framing,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-004.md,
REQ-DET-005,Protocol Detection,OMNI Protobuf,The plugin shall detect OMNI Protobuf by field tag patterns,First byte matches common field tags,tests/test_omni.py,test_detect_omni_entity_id_tag,Unit Test,COMPLETE,HIGH,1,Check for 0x08/0x10/0x1a/0x22,0.25,,,developer,v1.0,,,docs/requirements/DETECTION/REQ-DET-005.md,
REQ-XML-001,XML CoT Parsing,Event Element,The plugin shall parse event element attributes (type uid how version),All attributes extracted correctly,tests/test_cot_xml.py,test_parse_event_attributes,Unit Test,COMPLETE,HIGH,2,Regex-based extraction,0.5,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-001.md,
REQ-XML-002,XML CoT Parsing,Point Element,The plugin shall parse point element attributes (lat lon hae ce le),Coordinates as doubles,tests/test_cot_xml.py,test_parse_point_element,Unit Test,COMPLETE,HIGH,2,Extract from point tag,0.5,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-002.md,
REQ-XML-003,XML CoT Parsing,Contact Element,The plugin shall parse contact element (callsign endpoint),Contact info displayed,tests/test_cot_xml.py,test_parse_contact_element,Unit Test,COMPLETE,HIGH,2,Extract from contact tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-003.md,
REQ-XML-004,XML CoT Parsing,Group Element,The plugin shall parse __group element (name role),Group info displayed,tests/test_cot_xml.py,test_parse_group_element_not_present,Unit Test,COMPLETE,MEDIUM,2,Extract from __group tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-004.md,
REQ-XML-005,XML CoT Parsing,TAKv Element,The plugin shall parse takv element (device platform os version),TAK version info displayed,tests/test_cot_xml.py,test_parse_takv_element_not_present,Unit Test,COMPLETE,MEDIUM,2,Extract from takv tag,0.25,REQ-DET-001|REQ-DET-002,,developer,v1.0,,,docs/requirements/XML/REQ-XML-005.md,
